MV_ID,NOME,SKU,PRODUTTORE,SIZE,LINGUA,TOP/TAB,PROMO,VALORE (STIMA),OPENING,CONDITIONS,MORE INFO
can_wry7rf,LH44 5 STAR,0719,AG,500ML,FINLAND,BLACK,,120,FULL,OK,Finland version super rare
can_15ivt1n,LH44 5 STAR PRICEMARK 1.29£,1019,CP,500ML,UK,BLACK,,45,,OK,
can_zqrg3j,LH44 6 STAR,0320,CP,500ML,HUNGARY,BLACK,,3,,OK,
can_1tdl2hi,"LH44 6 STAR ""RELABELED""",0521,?,500ML,EU->USA,BLACK,,15,TOP OPENED,OK,Relabeled version for USA market
can_gc7svf,"LH44 6 STAR ""SILVER TOP""",0320,CP,500ML,HUNGARY,SILVER,,5,,OK,
can_1hadjc8,LH44 6 STAR PRICEMARK 1.29£,0720,CP,500ML,UK,BLACK,,5,,OK,
can_up407a,LH44 6 STAR SIDE LOGO,0720B,CROWN,473ML,MEXICO,SILVER/BLACK,,40,BOTTOM OPENED,OK,Side logo 0720 design
can_wfrskr,LH44 6 STAR SMALL LOGO,0920,CROWN,473ML,MEXICO,SILVER/BLACK,,25,BOTTOM OPENED,OK,Small logo 0920 design
can_7at7s2,LH44 7 STAR,1022,AG,500ML,ITALY,SILVER,,0,,OK,
can_132qhh5,LH44 7 STAR PRICEMARK 1.39£,0822B,CP,500ML,UK,SILVER,,3,,OK,
can_1a1y49w,LO-CAL,0911,BALL,500ML,SPAIN,SILVER,,8,,OK,
can_1omcmaq,LO-CAL 2010 CANADA,0210,MCC,473ML,CANADA,SILVER/LIGHT BLUE,,100,,OK,Panax ginseng version
new_1780692178144,LO-CAL 2011 CANADA,0811,CROWN,473ML,CANADA,SILVER/LIGHT BLUE,,30,TOP OPENED,OK,Natural health product/produit de sanitè version
new_1780691841938,LO-CAL 2015 CANADA,0515,BALL,473ML,CANADA,SILVER/LIGHT BLUE,,40,BOTTOM OPENED,OK,Long bottom text (2015 version)
can_nmwmq4,LO-CAL 2017 CANADA,0817,BALL,473ML,CANADA,SILVER/LIGHT BLUE,,15,,OK,
new_1780708299473,LO-CAL 2020 CANADA,0920,BALL,473ML,CANADA,SILVER/BLUE,,12,BOTTOM OPENED,OK,"Middle bottom text
Blue tab instead of light blue or silver"
can_10rednh,LO-CAL APEX 2021,0721,BALL,473ML,CANADA,SILVER,YES,10,BOTTOM OPEN,OK,
can_o42g8f,LO-CAL ASSASSIN'S CREED,0617B,BALL,473ML,CANADA,SILVER/LIGHT BLUE,YES,50,BOTTOM OPEN,OK,
can_1xof7e3,LO-CAL COD BO4,0618,BALL,473ML,CANADA,SILVER/LIGHT BLUE,YES,30,,OK,
can_1tv4pd4,LO-CAL COD GHOST,0613,MCC,473ML,CANADA,SILVER/LIGHT BLUE,YES,40,BOTTOM OPEN,OK,
can_afd8pp,LO-CAL FESTIVAL,0322 N,BALL,473ML,CANADA,SILVER,YES,12,BOTTOM OPEN,OK,
can_1e1ups8,LO-CAL HALO,0520,BALL,473ML,CANADA,SILVER/LIGHT BLUE,YES,15,BOTTOM OPEN,OK,
can_1cw92aa,LO-CAL LIVE NATION 1ST,1219,BALL,473ML,CANADA,SILVER,YES,15,,OK,
can_usmgwv,LO-CAL LIVE NATION 2ND,0121,BALL,473ML,CANADA,SILVER,YES,8,BOTTOM OPEN,OK,
can_1372a57,LO-CAL PRICEMARK 1.39£,0711,REXAM,500ML,UK,SILVER,,40,,OK,
can_145du3n,LO-CAL SUGAR WARNING,0525 N,BALL,473ML,CANADA,SILVER,,10,,OK,
can_16y9a55,LO-CARB,059,BALL,500ML,ITALY,SILVER,,20,BOTTOM OPEN,OK,
can_7dr8y1,LO-CARB,093,BALL,473ML,USA,SILVER/LIGHT BLUE,,120,,OK,
can_ejm0o,LO-CARB,0212,CROWN,500ML,GREECE,SILVER,,8,,OK,
can_1ipjia3,"LO-CARB ""500 mL"" SLIM",059,?,500ML,AUSTRALIA,SILVER,,60,,OK,
can_s6pvwo,"LO-CARB ""MINI""",1112,BALL,240ML,USA,SILVER,,25,TOP OPENED,OK,First sku
can_ujfovr,"LO-CARB ""MINI"" ""RELABELED""",0615,?,240ML,USA,SILVER,,50,BOTTOM OPENED,OK,Relabeled version (set of 4)
can_ljfdtj,"LO-CARB ""TAURINE""",0514,REXAM,473ML,USA,SILVER/LIGHT BLUE,,10,BOTTOM OPEN,OK,
can_13y2kls,"LO-CARB ""TAURINE"" 710",0316,REXAM,710ML,USA,TWIST TOP,,12,,OK,
can_1eh078a,"LO-CARB ""UAE OLD""",0213,BALL,500ML,UAE,SILVER,,60,,OK,
can_bd7woy,"LO-CARB ""WE SALUTE YOU""",0211,MCC,473ML,USA,SILVER/LIGHT BLUE,YES,80,,OK,
can_1uci6zs,LO-CARB 246,0113,BALL,246ML,USA,SILVER/LIGHT BLUE,,20,,OK,
can_1xf31xn,LO-CARB 310,0818 N,AG,310ML,USA,SILVER/LIGHT BLUE,,10,,OK,
can_8qwjhw,LO-CARB 355,0410,REXAM,355ML,USA,SILVER/LIGHT BLUE,,25,TOP OPENED,OK,Winston Churchill description
can_kg9pzd,LO-CARB 355,0920 N,AG,355ML,USA,SILVER/LIGHT BLUE,,8,TOP OPENED,OK,Middle design blue rectangle
can_1t255vr,LO-CARB 355 RIM TOP,1021 N,AG,355ML,USA,SILVER/LIGHT BLUE,,80,TOP OPENED,OK,Color rim
can_9ld7ng,LO-CARB 710,067,REXAM,710ML,USA,TWIST TOP,,12,,OK,
can_4bmrj3,LO-CARB 710 (NEW),1022 N,BALL,710ML,USA,TWIST TOP,,10,PLASTIC,OK,
can_hdzddk,LO-CARB APEX 2021,0421B,BALL,473ML,USA,SILVER/LIGHT BLUE,YES,6,BOTTOM OPEN,OK,
can_pqet06,LO-CARB APEX 2021 710,0421 N,BALL,710ML,USA,TWIST TOP,YES,15,PLASTIC,OK,
can_1kin9nv,LO-CARB APEX 2022,0422,AG,473ML,USA,SILVER/LIGHT BLUE,YES,5,,OK,
can_1rs6wig,LO-CARB APEX 2022 710,0422 N,BALL,710ML,USA,TWIST TOP,YES,15,PLASTIC,OK,
